GEO,quarter,VALUE
Alberta,2010-Q1,2593178
Alberta,2010-Q2,2529864
Alberta,2010-Q3,2528058
Alberta,2010-Q4,2585816
Alberta,2011-Q1,2582347
Alberta,2011-Q2,2648624
Alberta,2011-Q3,2703894
Alberta,2011-Q4,2711159
Alberta,2012-Q1,2815485
Alberta,2012-Q2,2808179
Alberta,2012-Q3,2831949
Alberta,2012-Q4,2871504
Alberta,2013-Q1,2894974
Alberta,2013-Q2,2896763
Alberta,2013-Q3,2989376
Alberta,2013-Q4,2964200
Alberta,2014-Q1,3069606
Alberta,2014-Q2,3117480
Alberta,2014-Q3,3155051
Alberta,2014-Q4,3082966
Alberta,2015-Q1,3006391
Alberta,2015-Q2,3020872
Alberta,2015-Q3,2955889
Alberta,2015-Q4,2928062
Alberta,2016-Q1,2862254
Alberta,2016-Q2,2822245
Alberta,2016-Q3,2953492
Alberta,2016-Q4,2956839
Alberta,2017-Q1,2950875
Alberta,2017-Q2,2896684
Alberta,2017-Q3,2996492
Alberta,2017-Q4,3065687
Alberta,2018-Q1,3068527
Alberta,2018-Q2,3110172
Alberta,2018-Q3,3026729
Alberta,2018-Q4,3166301
Alberta,2019-Q1,3180705
Alberta,2019-Q2,3144979
Alberta,2019-Q3,3077776
Alberta,2019-Q4,3101878
Alberta,2020-Q1,2756147
Alberta,2020-Q2,63622
Alberta,2020-Q3,95309
Alberta,2020-Q4,190613
Alberta,2021-Q1,160463
Alberta,2021-Q2,150242
Alberta,2021-Q3,416883
Alberta,2021-Q4,1124434
Alberta,2022-Q1,1199078
Alberta,2022-Q2,1955370
Alberta,2022-Q3,2126447
Alberta,2022-Q4,2551335
Alberta,2023-Q1,2712599
Alberta,2023-Q2,2918043
Alberta,2023-Q3,3141008
Alberta,2023-Q4,3151869
Alberta,2024-Q1,3067253
Alberta,2024-Q2,1022350
British Columbia,2010-Q1,13653006
British Columbia,2010-Q2,13678278
British Columbia,2010-Q3,14126646
British Columbia,2010-Q4,14581697
British Columbia,2011-Q1,15248581
British Columbia,2011-Q2,15864220
British Columbia,2011-Q3,16191297
British Columbia,2011-Q4,16650113
British Columbia,2012-Q1,16832187
British Columbia,2012-Q2,16966614
British Columbia,2012-Q3,17101138
British Columbia,2012-Q4,17195055
British Columbia,2013-Q1,17863909
British Columbia,2013-Q2,17334326
British Columbia,2013-Q3,17551327
British Columbia,2013-Q4,17472203
British Columbia,2014-Q1,17270756
British Columbia,2014-Q2,17310954
British Columbia,2014-Q3,17184017
British Columbia,2014-Q4,16890729
British Columbia,2015-Q1,16092100
British Columbia,2015-Q2,15802365
British Columbia,2015-Q3,14910035
British Columbia,2015-Q4,14874822
British Columbia,2016-Q1,14761614
British Columbia,2016-Q2,15013853
British Columbia,2016-Q3,15543392
British Columbia,2016-Q4,15343524
British Columbia,2017-Q1,15236046
British Columbia,2017-Q2,15148683
British Columbia,2017-Q3,15665899
British Columbia,2017-Q4,16197325
British Columbia,2018-Q1,16765341
British Columbia,2018-Q2,16842353
British Columbia,2018-Q3,16320844
British Columbia,2018-Q4,16652856
British Columbia,2019-Q1,16447047
British Columbia,2019-Q2,16686876
British Columbia,2019-Q3,16488631
British Columbia,2019-Q4,16468057
British Columbia,2020-Q1,10711366
British Columbia,2020-Q2,354560
British Columbia,2020-Q3,507764
British Columbia,2020-Q4,674761
British Columbia,2021-Q1,644440
British Columbia,2021-Q2,567260
British Columbia,2021-Q3,1413579
British Columbia,2021-Q4,3780860
British Columbia,2022-Q1,4157971
British Columbia,2022-Q2,9007461
British Columbia,2022-Q3,10342593
British Columbia,2022-Q4,11972014
British Columbia,2023-Q1,13103384
British Columbia,2023-Q2,13057875
British Columbia,2023-Q3,13378729
British Columbia,2023-Q4,14115333
British Columbia,2024-Q1,14491861
British Columbia,2024-Q2,4977932
Manitoba,2010-Q1,1413907
Manitoba,2010-Q2,1514492
Manitoba,2010-Q3,1477660
Manitoba,2010-Q4,1468123
Manitoba,2011-Q1,1483439
Manitoba,2011-Q2,1509697
Manitoba,2011-Q3,1568617
Manitoba,2011-Q4,1566655
Manitoba,2012-Q1,1664156
Manitoba,2012-Q2,1562654
Manitoba,2012-Q3,1587809
Manitoba,2012-Q4,1580251
Manitoba,2013-Q1,1606279
Manitoba,2013-Q2,1527419
Manitoba,2013-Q3,1533390
Manitoba,2013-Q4,1529455
Manitoba,2014-Q1,1435258
Manitoba,2014-Q2,1501458
Manitoba,2014-Q3,1421881
Manitoba,2014-Q4,1439161
Manitoba,2015-Q1,1328384
Manitoba,2015-Q2,1353586
Manitoba,2015-Q3,1238868
Manitoba,2015-Q4,1192824
Manitoba,2016-Q1,1187534
Manitoba,2016-Q2,1246078
Manitoba,2016-Q3,1223004
Manitoba,2016-Q4,1194907
Manitoba,2017-Q1,1214711
Manitoba,2017-Q2,1154032
Manitoba,2017-Q3,1235260
Manitoba,2017-Q4,1218351
Manitoba,2018-Q1,1258863
Manitoba,2018-Q2,1248116
Manitoba,2018-Q3,1174876
Manitoba,2018-Q4,1210088
Manitoba,2019-Q1,1224253
Manitoba,2019-Q2,1202363
Manitoba,2019-Q3,1226556
Manitoba,2019-Q4,1188546
Manitoba,2020-Q1,1072328
Manitoba,2020-Q2,45302
Manitoba,2020-Q3,46372
Manitoba,2020-Q4,66650
Manitoba,2021-Q1,63566
Manitoba,2021-Q2,59806
Manitoba,2021-Q3,98095
Manitoba,2021-Q4,243039
Manitoba,2022-Q1,244730
Manitoba,2022-Q2,517154
Manitoba,2022-Q3,612247
Manitoba,2022-Q4,837079
Manitoba,2023-Q1,910256
Manitoba,2023-Q2,883050
