GEO,Traveller characteristics,VALUE
Alberta,Canadian residents returning from countries other than the United States of America,11599669
Alberta,"Canadian residents returning from countries other than the United States of America, air",11598838
Alberta,Canadian residents returning from the United States of America,24016696
Alberta,"Canadian residents returning from the United States of America, air",17058492
Alberta,"Canadian residents returning from the United States of America, land, automobile",6828433
Alberta,"Canadian residents returning from the United States of America, other modes",129476
Alberta,Canadian-resident visitors returning to Canada,35616468
Alberta,Non-resident visitors entering Canada,12876364
Alberta,Residents of countries other than the United States of America entering Canada,3717055
Alberta,"Residents of countries other than the United States of America, air",3582490
Alberta,"Residents of countries other than the United States of America, land or water",134471
Alberta,United States of America residents entering Canada,9159141
Alberta,"United States of America residents, air",6642361
Alberta,"United States of America residents, land, automobile",2388183
Alberta,"United States of America residents, other modes",128250
British Columbia,Canadian residents returning from countries other than the United States of America,20848729
British Columbia,"Canadian residents returning from countries other than the United States of America, air",20750470
British Columbia,Canadian residents returning from the United States of America,148220967
British Columbia,"Canadian residents returning from the United States of America, air",18843007
British Columbia,"Canadian residents returning from the United States of America, land, automobile",124505374
British Columbia,"Canadian residents returning from the United States of America, other modes",4872232
British Columbia,Canadian-resident visitors returning to Canada,169069789
British Columbia,Non-resident visitors entering Canada,88126225
British Columbia,Residents of countries other than the United States of America entering Canada,21432365
British Columbia,"Residents of countries other than the United States of America, air",16126214
British Columbia,"Residents of countries other than the United States of America, land or water",5306058
British Columbia,United States of America residents entering Canada,66693690
British Columbia,"United States of America residents, air",13234593
British Columbia,"United States of America residents, land, automobile",40212545
British Columbia,"United States of America residents, other modes",13246201
Manitoba,Canadian residents returning from countries other than the United States of America,1293624
Manitoba,"Canadian residents returning from countries other than the United States of America, air",1293263
Manitoba,Canadian residents returning from the United States of America,15711902
Manitoba,"Canadian residents returning from the United States of America, air",1726813
Manitoba,"Canadian residents returning from the United States of America, land, automobile",13561279
Manitoba,"Canadian residents returning from the United States of America, other modes",423520
Manitoba,Canadian-resident visitors returning to Canada,17005624
Manitoba,Non-resident visitors entering Canada,4369399
Manitoba,Residents of countries other than the United States of America entering Canada,165893
Manitoba,"Residents of countries other than the United States of America, air",106070
Manitoba,"Residents of countries other than the United States of America, land or water",59724
