GEO,quarter,VALUE
Alberta,2010-Q1,6183749
Alberta,2010-Q2,6037586
Alberta,2010-Q3,6033729
Alberta,2010-Q4,6167690
Alberta,2011-Q1,6156961
Alberta,2011-Q2,6323509
Alberta,2011-Q3,6456763
Alberta,2011-Q4,6470039
Alberta,2012-Q1,6710447
Alberta,2012-Q2,6690596
Alberta,2012-Q3,6749521
Alberta,2012-Q4,6842972
Alberta,2013-Q1,6901626
Alberta,2013-Q2,6903590
Alberta,2013-Q3,7115658
Alberta,2013-Q4,7057224
Alberta,2014-Q1,7313195
Alberta,2014-Q2,7424423
Alberta,2014-Q3,7509945
Alberta,2014-Q4,7336928
Alberta,2015-Q1,7147422
Alberta,2015-Q2,7168737
Alberta,2015-Q3,7010954
Alberta,2015-Q4,6945944
Alberta,2016-Q1,6791060
Alberta,2016-Q2,6696877
Alberta,2016-Q3,7001677
Alberta,2016-Q4,7014090
Alberta,2017-Q1,6999359
Alberta,2017-Q2,6880193
Alberta,2017-Q3,7111801
Alberta,2017-Q4,7271209
Alberta,2018-Q1,7278134
Alberta,2018-Q2,7374380
Alberta,2018-Q3,7180878
Alberta,2018-Q4,7507703
Alberta,2019-Q1,7545937
Alberta,2019-Q2,7473884
Alberta,2019-Q3,7326772
Alberta,2019-Q4,7384237
Alberta,2020-Q1,6572089
Alberta,2020-Q2,227108
Alberta,2020-Q3,309487
Alberta,2020-Q4,535816
Alberta,2021-Q1,470122
Alberta,2021-Q2,449731
Alberta,2021-Q3,1076926
Alberta,2021-Q4,2745328
Alberta,2022-Q1,2906097
Alberta,2022-Q2,4692703
Alberta,2022-Q3,5090451
Alberta,2022-Q4,6080812
Alberta,2023-Q1,6465459
Alberta,2023-Q2,6953563
Alberta,2023-Q3,7477379
Alberta,2023-Q4,7502266
Alberta,2024-Q1,7306091
Alberta,2024-Q2,2437242
British Columbia,2010-Q1,32479284
British Columbia,2010-Q2,32498179
British Columbia,2010-Q3,33548518
British Columbia,2010-Q4,34603201
British Columbia,2011-Q1,36170184
British Columbia,2011-Q2,37606897
British Columbia,2011-Q3,38378698
British Columbia,2011-Q4,39464656
British Columbia,2012-Q1,39888820
British Columbia,2012-Q2,40216311
British Columbia,2012-Q3,40526697
British Columbia,2012-Q4,40741625
British Columbia,2013-Q1,42317647
British Columbia,2013-Q2,41090240
British Columbia,2013-Q3,41597966
British Columbia,2013-Q4,41413649
British Columbia,2014-Q1,40937450
British Columbia,2014-Q2,41045183
British Columbia,2014-Q3,40756686
British Columbia,2014-Q4,40045363
British Columbia,2015-Q1,38229705
British Columbia,2015-Q2,37549509
British Columbia,2015-Q3,35451527
British Columbia,2015-Q4,35370914
British Columbia,2016-Q1,35119266
British Columbia,2016-Q2,35728029
British Columbia,2016-Q3,36956324
British Columbia,2016-Q4,36509346
British Columbia,2017-Q1,36254977
British Columbia,2017-Q2,36060605
British Columbia,2017-Q3,37306237
British Columbia,2017-Q4,38572450
British Columbia,2018-Q1,39893048
British Columbia,2018-Q2,40061281
British Columbia,2018-Q3,38856196
British Columbia,2018-Q4,39634603
British Columbia,2019-Q1,39141113
British Columbia,2019-Q2,39717806
British Columbia,2019-Q3,39239236
British Columbia,2019-Q4,39179450
British Columbia,2020-Q1,25480127
British Columbia,2020-Q2,1177051
British Columbia,2020-Q3,1585092
British Columbia,2020-Q4,1969645
British Columbia,2021-Q1,1894498
British Columbia,2021-Q2,1740285
British Columbia,2021-Q3,3730595
British Columbia,2021-Q4,9270509
British Columbia,2022-Q1,10351323
British Columbia,2022-Q2,21741068
British Columbia,2022-Q3,24876033
British Columbia,2022-Q4,28699994
British Columbia,2023-Q1,31328113
British Columbia,2023-Q2,31283534
British Columbia,2023-Q3,32005118
British Columbia,2023-Q4,33743089
British Columbia,2024-Q1,34588379
British Columbia,2024-Q2,11890094
Manitoba,2010-Q1,3452055
Manitoba,2010-Q2,3683893
Manitoba,2010-Q3,3595605
Manitoba,2010-Q4,3572383
Manitoba,2011-Q1,3607635
Manitoba,2011-Q2,3668478
Manitoba,2011-Q3,3829251
Manitoba,2011-Q4,3812500
Manitoba,2012-Q1,4042689
Manitoba,2012-Q2,3808691
Manitoba,2012-Q3,3876305
Manitoba,2012-Q4,3854838
Manitoba,2013-Q1,3919864
Manitoba,2013-Q2,3724534
Manitoba,2013-Q3,3735395
Manitoba,2013-Q4,3726284
Manitoba,2014-Q1,3513546
Manitoba,2014-Q2,3679482
Manitoba,2014-Q3,3472869
Manitoba,2014-Q4,3516489
Manitoba,2015-Q1,3261788
Manitoba,2015-Q2,3313511
Manitoba,2015-Q3,3045796
Manitoba,2015-Q4,2934938
Manitoba,2016-Q1,2923076
Manitoba,2016-Q2,3062690
Manitoba,2016-Q3,3009110
Manitoba,2016-Q4,2936503
Manitoba,2017-Q1,2986102
Manitoba,2017-Q2,2843587
Manitoba,2017-Q3,3040193
Manitoba,2017-Q4,3003490
Manitoba,2018-Q1,3094613
Manitoba,2018-Q2,3073377
Manitoba,2018-Q3,2904295
Manitoba,2018-Q4,2988019
Manitoba,2019-Q1,3019967
Manitoba,2019-Q2,2967552
Manitoba,2019-Q3,3023335
Manitoba,2019-Q4,2929970
Manitoba,2020-Q1,2661544
Manitoba,2020-Q2,229999
Manitoba,2020-Q3,250176
Manitoba,2020-Q4,308967
Manitoba,2021-Q1,307650
Manitoba,2021-Q2,297914
Manitoba,2021-Q3,391486
Manitoba,2021-Q4,738668
Manitoba,2022-Q1,727923
Manitoba,2022-Q2,1375544
Manitoba,2022-Q3,1591985
Manitoba,2022-Q4,2113582
Manitoba,2023-Q1,2288643
Manitoba,2023-Q2,2223696
Manitoba,2023-Q3,2429720
Manitoba,2023-Q4,2620425
Manitoba,2024-Q1,2793278
Manitoba,2024-Q2,909497
New Brunswick,2010-Q1,8163953
New Brunswick,2010-Q2,8339408
New Brunswick,2010-Q3,8415719
New Brunswick,2010-Q4,8426149
New Brunswick,2011-Q1,8528106
New Brunswick,2011-Q2,8698305
New Brunswick,2011-Q3,8651599
New Brunswick,2011-Q4,8622339
New Brunswick,2012-Q1,8766050
New Brunswick,2012-Q2,8670289
New Brunswick,2012-Q3,8622758
New Brunswick,2012-Q4,8629771
New Brunswick,2013-Q1,8575686
New Brunswick,2013-Q2,8244713
New Brunswick,2013-Q3,8170997
New Brunswick,2013-Q4,8026259
New Brunswick,2014-Q1,7865518
New Brunswick,2014-Q2,7573832
New Brunswick,2014-Q3,7446503
New Brunswick,2014-Q4,7363664
New Brunswick,2015-Q1,6522747
New Brunswick,2015-Q2,6526760
New Brunswick,2015-Q3,6021814
New Brunswick,2015-Q4,5863345
New Brunswick,2016-Q1,5611117
New Brunswick,2016-Q2,5771814
New Brunswick,2016-Q3,5846417
New Brunswick,2016-Q4,5882707
New Brunswick,2017-Q1,5817034
New Brunswick,2017-Q2,5451766
New Brunswick,2017-Q3,5724235
New Brunswick,2017-Q4,5768442
New Brunswick,2018-Q1,5849461
New Brunswick,2018-Q2,5851169
New Brunswick,2018-Q3,5389181
New Brunswick,2018-Q4,5497372
New Brunswick,2019-Q1,5512853
New Brunswick,2019-Q2,5761663
New Brunswick,2019-Q3,5822503
