GEO,Traveller characteristics,VALUE
Alberta,Canadian residents returning from countries other than the United States of America,23199351
Alberta,"Canadian residents returning from countries other than the United States of America, air",23197688
Alberta,Canadian residents returning from the United States of America,48033481
Alberta,"Canadian residents returning from the United States of America, air",34117018
Alberta,"Canadian residents returning from the United States of America, land, automobile",13656947
Alberta,"Canadian residents returning from the United States of America, other modes",259039
Alberta,Canadian-resident visitors returning to Canada,71233021
Alberta,International travellers entering or returning to Canada,52167746
Alberta,Non-resident visitors entering Canada,25752804
Alberta,Other travellers entering or returning to Canada,3674576
Alberta,Residents of countries other than the United States of America entering Canada,7434187
Alberta,"Residents of countries other than the United States of America, air",7164989
Alberta,"Residents of countries other than the United States of America, land or water",269023
Alberta,United States of America residents entering Canada,18318367
Alberta,"United States of America residents, air",13284809
Alberta,"United States of America residents, land, automobile",4776448
Alberta,"United States of America residents, other modes",256575
British Columbia,Canadian residents returning from countries other than the United States of America,41697469
British Columbia,"Canadian residents returning from countries other than the United States of America, air",41500949
British Columbia,Canadian residents returning from the United States of America,296442014
British Columbia,"Canadian residents returning from the United States of America, air",37686104
British Columbia,"Canadian residents returning from the United States of America, land, automobile",249010839
British Columbia,"Canadian residents returning from the United States of America, other modes",9744548
British Columbia,Canadian-resident visitors returning to Canada,338139654
British Columbia,International travellers entering or returning to Canada,275865905
British Columbia,Non-resident visitors entering Canada,176252537
British Columbia,Other travellers entering or returning to Canada,18669561
British Columbia,Residents of countries other than the United States of America entering Canada,42864806
British Columbia,"Residents of countries other than the United States of America, air",32252441
British Columbia,"Residents of countries other than the United States of America, land or water",10612192
British Columbia,United States of America residents entering Canada,133387460
British Columbia,"United States of America residents, air",26469277
British Columbia,"United States of America residents, land, automobile",80425182
British Columbia,"United States of America residents, other modes",26492485
Manitoba,Canadian residents returning from countries other than the United States of America,2587259
Manitoba,"Canadian residents returning from countries other than the United States of America, air",2586535
Manitoba,Canadian residents returning from the United States of America,31423896
Manitoba,"Canadian residents returning from the United States of America, air",3453666
Manitoba,"Canadian residents returning from the United States of America, land, automobile",27122641
Manitoba,"Canadian residents returning from the United States of America, other modes",847121
Manitoba,Canadian-resident visitors returning to Canada,34011340
Manitoba,International travellers entering or returning to Canada,25921422
Manitoba,Non-resident visitors entering Canada,8738872
Manitoba,Other travellers entering or returning to Canada,4546052
Manitoba,Residents of countries other than the United States of America entering Canada,331868
Manitoba,"Residents of countries other than the United States of America, air",212146
Manitoba,"Residents of countries other than the United States of America, land or water",119541
Manitoba,United States of America residents entering Canada,8406768
Manitoba,"United States of America residents, air",1547638
Manitoba,"United States of America residents, land, automobile",6712159
Manitoba,"United States of America residents, other modes",146471
New Brunswick,Canadian residents returning from countries other than the United States of America,654566
New Brunswick,"Canadian residents returning from countries other than the United States of America, air",653560
New Brunswick,Canadian residents returning from the United States of America,67547826
New Brunswick,"Canadian residents returning from the United States of America, air",210561
New Brunswick,"Canadian residents returning from the United States of America, land, automobile",66389555
New Brunswick,"Canadian residents returning from the United States of America, other modes",947242
New Brunswick,Canadian-resident visitors returning to Canada,68202509
New Brunswick,International travellers entering or returning to Canada,48635902
New Brunswick,Non-resident visitors entering Canada,22533730
New Brunswick,Other travellers entering or returning to Canada,3267543
New Brunswick,Residents of countries other than the United States of America entering Canada,474838
New Brunswick,"Residents of countries other than the United States of America, air",12613
New Brunswick,"Residents of countries other than the United States of America, land or water",462063
New Brunswick,United States of America residents entering Canada,22058659
